Date,Price,Open,High,Low,,
6/14/2009,11.27,11.16,11.27,11.16,,
6/7/2009,11.27,11.16,11.27,11.16,,
5/31/2009,11.27,11.16,11.27,11.16,,
5/24/2009,11.27,11.16,11.27,11.16,,
5/17/2009,11.27,11.16,11.27,11.16,,
5/10/2009,11.27,11.125,11.27,11.125,,
5/3/2009,11.235,11.125,11.235,11.125,,
4/26/2009,11.235,11.125,11.235,11.125,,
4/19/2009,11.235,11.125,11.235,11.125,,
4/12/2009,11.235,11.09,11.235,11.07,,
4/5/2009,11.15,11.09,11.15,11.09,,
3/29/2009,11.2,11.09,11.2,11.09,,
3/22/2009,11.2,11.09,11.2,11.09,,
3/15/2009,11.2,11.09,11.2,11.09,,
3/8/2009,11.2,11.09,11.2,11.09,,
3/1/2009,11.2,11,11.2,11,,
2/22/2009,11.105,11,11.155,11,,
2/15/2009,11.105,10.84,11.105,10.84,,
2/8/2009,10.975,10.84,10.975,10.84,,
2/1/2009,10.975,10.79,10.975,10.79,,
1/25/2009,10.95,10.79,10.95,10.79,,
1/18/2009,10.95,10.59,10.95,10.59,,
1/11/2009,10.7,10.31,10.7,10.31,,
1/4/2009,10.41,9.79,10.41,9.79,,
12/28/2008,9.95,9.79,9.95,9.79,,
12/21/2008,9.925,9.79,9.925,9.79,,
12/14/2008,9.925,9.79,9.925,9.79,,
12/7/2008,9.925,9.79,9.925,9.79,,
11/30/2008,9.925,9.79,10.025,9.79,,
11/23/2008,9.825,9.79,9.825,9.79,,
11/16/2008,9.825,9.79,9.825,9.79,,
11/9/2008,9.825,9.69,9.825,9.69,,
11/2/2008,9.775,9.69,9.775,9.69,,
10/26/2008,9.775,9.69,9.7954,9.69,,
10/19/2008,9.775,9.69,9.7905,9.69,,
10/12/2008,9.775,9.69,9.7857,9.69,,
10/5/2008,9.775,9.69,9.7808,9.69,,
9/28/2008,9.775,9.69,9.775,9.69,,
9/21/2008,9.775,9.69,9.775,9.69,,
